Municipality,Year,Population_2020,PP_Total,Homestead_Total,BETE_Total,PP_PerCapita,HS_PerCapita,BETE_PerCapita
Acton,2022,2671,1490000,9240000,0,557.84,3459.00,0.00
Acton,2023,2671,1840000,9500000,0,688.88,3556.72,0.00
Acton,2024,2671,2240000,9500000,0,838.64,3556.72,0.00
Alfred,2022,3073,5740000,18340000,4200000,1867.45,5967.35,1366.99
Alfred,2023,3073,5380000,18700000,4200000,1750.41,6084.33,1366.99
Alfred,2024,3073,6210000,18880000,4560000,2020.83,6143.83,1483.89
Arundel,2022,4264,6110000,25380000,6820000,1432.92,5952.86,1599.44
Arundel,2023,4264,7870000,26100000,7080000,1845.45,6121.48,1660.88
Arundel,2024,4264,7230000,26460000,7380000,1695.59,6205.44,1730.77
Berwick,2022,7950,6930000,51140000,3920000,871.70,6434.59,493.08
Berwick,2023,7950,5310000,52460000,4040000,668.11,6599.37,508.18
Berwick,2024,7950,8580000,53820000,4280000,1079.25,6769.81,538.36
Biddeford,2022,22552,63600000,80860000,47760000,2820.14,3585.53,2117.87
Biddeford,2023,22552,70690000,83040000,50360000,3134.88,3682.21,2233.27
Biddeford,2024,22552,67980000,84980000,53480000,3014.37,3768.18,2371.41
Buxton,2022,8376,11380000,50700000,43900000,1358.64,6052.05,5240.45
Buxton,2023,8376,11300000,52260000,44600000,1348.90,6238.30,5324.97
Buxton,2024,8376,12890000,53460000,44800000,1538.92,6382.52,5348.62
Cornish,2022,1508,2660000,8160000,0,1763.93,5411.13,0.00
Cornish,2023,1508,2180000,8480000,0,1445.62,5622.35,0.00
Cornish,2024,1508,2180000,8640000,0,1445.62,5729.44,0.00
Dayton,2022,2129,2290000,14140000,2200000,1075.62,6641.61,1033.34
Dayton,2023,2129,2440000,14620000,2260000,1145.89,6867.07,1061.53
Dayton,2024,2129,2690000,14820000,2420000,1263.50,6961.01,1136.68
Eliot,2022,6717,7500000,41940000,8260000,1116.87,6243.71,1229.57
Eliot,2023,6717,9630000,43220000,8580000,1433.96,6433.82,1277.21
Eliot,2024,6717,23040000,44060000,9000000,3430.10,6559.48,1339.88
Hollis,2022,4745,40720000,27460000,77200000,8581.66,5787.14,16269.76
Hollis,2023,4745,76430000,28280000,88580000,16107.48,5959.96,18669.13
Hollis,2024,4745,74670000,28740000,95800000,15736.56,6056.90,20189.67
Kennebunk,2022,11536,36190000,63520000,29880000,3136.68,5505.54,2590.03
Kennebunk,2023,11536,31060000,65340000,31340000,2692.36,5662.58,2717.04
Kennebunk,2024,11536,31480000,66500000,32480000,2728.85,5764.56,2815.53
Kennebunkport,2022,3629,9370000,19100000,1960000,2581.54,5262.88,540.09
Kennebunkport,2023,3629,9760000,19620000,2020000,2689.06,5406.17,556.63
Kennebunkport,2024,3629,9500000,20000000,2100000,2617.80,5511.16,578.67
Kittery,2022,10070,34660000,55680000,10720000,3441.91,5529.49,1064.55
Kittery,2023,10070,36260000,57200000,11200000,3600.80,5679.24,1112.21
Kittery,2024,10070,36810000,58340000,11660000,3655.41,5793.45,1157.89
Lebanon,2022,6469,1590000,38880000,26940000,245.79,6010.20,4164.17
Lebanon,2023,6469,1630000,40140000,27700000,251.97,6205.43,4282.73
Lebanon,2024,6469,3060000,41200000,28600000,473.03,6368.84,4421.09
Limerick,2022,3188,4010000,18160000,1700000,1258.16,5696.36,533.25
Limerick,2023,3188,3120000,18900000,1740000,978.67,5929.42,545.80
Limerick,2024,3188,2860000,19300000,1800000,897.11,6054.58,564.62
Limington,2022,3892,880000,19600000,7560000,226.11,5036.74,1942.19
Limington,2023,3892,1060000,20400000,7740000,272.35,5241.52,1988.44
Limington,2024,3892,1160000,20980000,7920000,298.05,5390.54,2034.94
Lyman,2022,4525,3550000,24660000,3900000,784.75,5451.27,862.43
Lyman,2023,4525,3210000,25560000,4000000,709.61,5651.05,884.25
Lyman,2024,4525,3000000,26080000,4120000,662.98,5763.54,910.50
Newfield,2022,1648,640000,7620000,2480000,388.35,4624.03,1504.85
Newfield,2023,1648,630000,7880000,2540000,382.28,4781.55,1540.78
Newfield,2024,1648,650000,8020000,2620000,394.42,4866.99,1589.81
North Berwick,2022,4978,50780000,26940000,214260000,10200.88,5412.62,43042.99
North Berwick,2023,4978,50270000,27880000,228060000,10098.43,5601.04,45812.77
North Berwick,2024,4978,49180000,28500000,246240000,9879.47,5725.19,49465.65
Ogunquit,2022,1577,9950000,6400000,980000,6309.45,4058.34,621.43
Ogunquit,2023,1577,10380000,6620000,1020000,6582.12,4197.84,646.80
Ogunquit,2024,1577,11000000,6760000,1060000,6975.27,4286.62,672.16
Old Orchard Beach,2022,8960,43080000,40700000,14040000,4808.04,4541.07,1566.96
Old Orchard Beach,2023,8960,47240000,42000000,14600000,5272.32,4687.50,1629.46
Old Orchard Beach,2024,8960,55770000,43100000,15280000,6224.33,4810.27,1705.36
Parsonsfield,2022,1791,1570000,8880000,2440000,876.62,4958.69,1362.37
Parsonsfield,2023,1791,1640000,9200000,2500000,915.69,5136.24,1395.87
Parsonsfield,2024,1791,1500000,9400000,2580000,837.52,5248.46,1440.54
Saco,2022,20381,48580000,109660000,42680000,2383.59,5380.99,2094.11
Saco,2023,20381,50100000,113180000,44620000,2458.17,5553.21,2189.29
Saco,2024,20381,53310000,115820000,46560000,2615.67,5682.74,2284.48
Sanford,2022,21982,130570000,113780000,29200000,5939.86,5176.96,1328.36
Sanford,2023,21982,138920000,117400000,30620000,6319.72,5340.73,1392.96
Sanford,2024,21982,144440000,120560000,32320000,6570.83,5484.49,1470.29
Shapleigh,2022,2921,0,14700000,13140000,0.00,5032.52,4498.46
Shapleigh,2023,2921,92190,15200000,13600000,31.56,5203.01,4655.94
Shapleigh,2024,2921,96850,15540000,14020000,33.16,5320.10,4799.73
South Berwick,2022,7467,5740000,46000000,19320000,768.72,6160.54,2587.44
South Berwick,2023,7467,6440000,47460000,20000000,862.49,6354.61,2678.43
South Berwick,2024,7467,6490000,48440000,20740000,869.16,6487.21,2777.55
Waterboro,2022,7936,7880000,45420000,20740000,992.94,5723.49,2613.35
Waterboro,2023,7936,7620000,47060000,21500000,960.18,5929.49,2709.96
Waterboro,2024,7936,7430000,48360000,45800000,936.24,6093.75,5771.17
Wells,2022,11314,20670000,58940000,13540000,1826.87,5209.40,1197.10
Wells,2023,11314,26010000,60920000,14060000,2299.45,5384.32,1242.96
Wells,2024,11314,30160000,62440000,14580000,2665.72,5518.83,1288.67
York,2022,13723,29280000,72280000,13220000,2133.78,5266.55,963.38
York,2023,13723,26560000,74620000,13780000,1935.44,5437.28,1004.15
York,2024,13723,28270000,76320000,14340000,2060.05,5561.47,1044.96
